Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100uF","CP_Elec_6.3x7.7",69.700000,-100.950000,180.000000,top
"C2","22pF","C_1206_3216Metric",84.364000,-53.468000,180.000000,top
"C3","22pF","C_1206_3216Metric",84.364000,-50.166000,180.000000,top
"C4","100nF","C_0402_1005Metric",66.838000,-66.930000,90.000000,top
"C5","220uf","CP_Elec_6.3x7.7",62.200000,-80.750000,270.000000,top
"C6","100nF","C_0402_1005Metric",80.808000,-54.230000,0.000000,top
"C7","100nF","C_1206_3216Metric",93.500000,-94.500000,270.000000,top
"C8","100nF","C_1206_3216Metric",101.200000,-94.500000,90.000000,top
"D1","SS34","SS34",77.250000,-91.300000,90.000000,top
"D2","GREEN","D_0402_1005Metric",102.685000,-62.700000,0.000000,top
"D3","RED","D_0402_1005Metric",53.065000,-82.200000,0.000000,top
"D4","GREEN","D_0402_1005Metric",106.725000,-90.600000,0.000000,top
"L1","33uH","YPRH1207-330M",72.550000,-78.900000,90.000000,top
"Q1","AO3401A","SOT-23",62.900000,-99.250000,180.000000,top
"Q2","2N7002","SOT-23",73.828000,-51.186000,270.000000,top
"Q3","2N7002","SOT-23",67.682000,-51.186000,270.000000,top
"R1","10k","R_0805_2012Metric",64.552000,-67.438000,90.000000,top
"R2","330","R_0402_1005Metric",102.600000,-64.000000,0.000000,top
"R3","330","R_0402_1005Metric",55.800000,-82.200000,180.000000,top
"R4","330","R_0402_1005Metric",106.725000,-89.422000,0.000000,top
"R5","10k","R_0805_2012Metric",70.902000,-51.182000,270.000000,top
"R6","10k","R_0805_2012Metric",64.806000,-51.182000,270.000000,top
"R7","10k","R_0805_2012Metric",73.828000,-54.086000,180.000000,top
"R8","10k","R_0805_2012Metric",66.000000,-54.000000,0.000000,top
"SW1","Reset","TS-1187A-B-A-B_PushButton",111.000000,-62.800000,0.000000,top
"U2","LM2596S-5","TO-263-5_TabPin3",65.400000,-91.500000,180.000000,top
